pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT3G23550-AT3G23560,1-2,1-2,+IR,10,34,6,41,6,22,0,29,0,37,0,55,IR,AT3G23550,AT3G23560,AT3G23550-AT3G235601-2+IR,97,22,121,0,one,0.22680412371134
AT1G31690-AT1G31710,3-4,3-4,+IR,15,44,7,43,24,119,0,16,0,33,0,39,IR,AT1G31690,AT1G31710,AT1G31690-AT1G317103-4+IR,206,46,88,0,one,0.223300970873786
AT4G08480-AT4G08500,6-7,6-7,-ALTA,14,76,18,61,20,98,0,112,0,103,0,153,ALTA,AT4G08480,AT4G08500,AT4G08480-AT4G085006-7-ALTA,235,52,368,0,one,0.221276595744681
AT1G27020-AT1G27030,3-4,3-4,+IR,0,4,0,10,0,7,16,47,11,43,15,100,IR,AT1G27020,AT1G27030,AT1G27020-AT1G270303-4+IR,21,0,190,42,one,0.221052631578947
AT4G11830-AT4G11840,8-9,7-8,-ALTD,32,190,43,177,74,309,0,90,0,84,0,114,ALTD,AT4G11830,AT4G11840,AT4G11830-AT4G118408-9-ALTD,676,149,288,0,one,0.220414201183432
AT5G51370-AT5G51380,1-2,1-2,+IR,7,39,7,49,25,91,0,7,0,14,0,11,IR,AT5G51370,AT5G51380,AT5G51370-AT5G513801-2+IR,179,39,32,0,one,0.217877094972067
AT1G31280-AT1G31290,1-2,1-2,-ALTA,2,24,7,23,10,41,0,0,0,1,0,3,ALTA,AT1G31280,AT1G31290,AT1G31280-AT1G312901-2-ALTA,88,19,4,0,one,0.215909090909091
AT3G23470-AT3G23480,12-13,12-13,+IR,0,7,0,4,0,14,27,195,61,216,72,341,IR,AT3G23470,AT3G23480,AT3G23470-AT3G2348012-13+IR,25,0,752,160,one,0.212765957446809
AT4G15215-AT4G15230,21-22,21-22,+IR,9,12,1,9,1,31,0,16,0,8,0,13,IR,AT4G15215,AT4G15230,AT4G15215-AT4G1523021-22+IR,52,11,37,0,one,0.211538461538462
AT2G32160-AT2G32170,12-13,13-14,+IR,95,305,56,297,67,443,0,174,0,195,0,281,IR,AT2G32160,AT2G32170,AT2G32160-AT2G3217012-13+IR,1045,218,650,0,one,0.208612440191388
