pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G10740-AT1G23330,5-6,5-6,-ALTA,2,381,2,287,8,588,0,103,0,78,0,150,ALTA,AT1G10740,AT1G23330,AT1G10740-AT1G233305-6-ALTA,1256,12,331,0,one,0.00955414012738853
AT4G04890-AT4G21750,7-8,6-7,+IR,0,390,0,470,0,882,6,356,2,426,7,791,IR,AT4G04890,AT4G21750,AT4G04890-AT4G217507-8+IR,1742,0,1573,15,one,0.00953591862682772
AT2G36390-AT5G03650,8-9,8-9,+IR,0,224,0,261,0,360,6,596,7,578,8,1042,IR,AT2G36390,AT5G03650,AT2G36390-AT5G036508-9+IR,845,0,2216,21,one,0.00947653429602888
AT3G02230-AT5G15650,3-4,3-4,+IR,0,496,0,195,0,702,1,903,21,868,10,1612,IR,AT3G02230,AT5G15650,AT3G02230-AT5G156503-4+IR,1393,0,3383,32,one,0.00945906000591191
AT1G17730-AT1G73030,1-2,1-2,+ALTD,6,307,2,365,4,600,0,803,0,897,0,1586,ALTD,AT1G17730,AT1G73030,AT1G17730-AT1G730301-2+ALTD,1272,12,3286,0,one,0.00943396226415094
AT3G05230-AT5G27430,4-5,4-5,+IR,0,125,0,117,0,217,2,267,1,248,6,442,IR,AT3G05230,AT5G27430,AT3G05230-AT5G274304-5+IR,459,0,957,9,one,0.00940438871473354
AT5G08300-AT5G23250,1-2,1-2,+IR,0,409,0,317,0,711,4,231,2,151,2,470,IR,AT5G08300,AT5G23250,AT5G08300-AT5G232501-2+IR,1437,0,852,8,one,0.00938967136150235
AT1G28110-AT2G33530,1-2,1-2,+IR,0,38,0,51,0,101,1,212,1,164,5,378,IR,AT1G28110,AT2G33530,AT1G28110-AT2G335301-2+IR,190,0,754,7,one,0.00928381962864721
AT2G39130-AT3G54830,7-8,6-7,+IR,0,59,0,67,0,125,2,524,5,721,12,802,IR,AT2G39130,AT3G54830,AT2G39130-AT3G548307-8+IR,251,0,2047,19,one,0.0092818759159746
AT1G49730-AT3G19300,2-3,2-3,+IR,3,251,1,215,4,396,0,16,0,14,0,10,IR,AT1G49730,AT3G19300,AT1G49730-AT3G193002-3+IR,862,8,40,0,one,0.00928074245939675
AT1G29250-AT2G34160,2-3,2-3,+IR,10,815,3,419,10,1247,0,251,0,193,0,432,IR,AT1G29250,AT2G34160,AT1G29250-AT2G341602-3+IR,2481,23,876,0,one,0.00927045546150746
AT2G19860-AT4G29130,4-5,4-5,+IR,3,221,1,155,2,272,0,363,0,230,0,486,IR,AT2G19860,AT4G29130,AT2G19860-AT4G291304-5+IR,648,6,1079,0,one,0.00925925925925926
AT1G10290-AT1G59610,1-2,1-2,+IR,0,161,0,172,0,293,2,166,1,197,3,285,IR,AT1G10290,AT1G59610,AT1G10290-AT1G596101-2+IR,626,0,648,6,one,0.00925925925925926
AT1G49300-AT3G18820,6-7,5-6,-ALTA,3,455,6,510,7,765,0,650,0,722,0,1174,ALTA,AT1G49300,AT3G18820,AT1G49300-AT3G188206-7-ALTA,1730,16,2546,0,one,0.0092485549132948
AT5G10540-AT5G65620,4-5,4-5,+IR,7,438,1,418,5,562,0,832,0,835,0,1368,IR,AT5G10540,AT5G65620,AT5G10540-AT5G656204-5+IR,1418,13,3035,0,one,0.00916784203102962
AT2G36390-AT5G03650,14-15,14-15,-ALTA,9,327,3,442,1,655,0,809,0,689,0,1262,ALTA,AT2G36390,AT5G03650,AT2G36390-AT5G0365014-15-ALTA,1424,13,2760,0,one,0.00912921348314607
AT3G43220-AT5G20840,13-14,13-14,+IR,0,240,0,231,0,288,6,318,2,270,1,405,IR,AT3G43220,AT5G20840,AT3G43220-AT5G2084013-14+IR,759,0,993,9,one,0.00906344410876133
AT1G02890-AT4G02480,19-20,19-20,+IR,0,300,0,321,0,532,6,681,6,775,11,1082,IR,AT1G02890,AT4G02480,AT1G02890-AT4G0248019-20+IR,1153,0,2538,23,one,0.00906225374310481
