pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT1G47490-AT1G47500,5-6,5-6,+IR,16,427,3,255,7,567,1,220,5,161,7,385,IR,AT1G47490,AT1G47500,AT1G47490-AT1G475005-6+IR,1249,26,766,13,both,0.00384537394928998
AT5G19990-AT5G20000,8-9,8-9,+IR,3,354,2,351,3,652,1,222,4,287,4,447,IR,AT5G19990,AT5G20000,AT5G19990-AT5G200008-9+IR,1357,8,956,9,both,0.00351886853537985
AT1G38065-AT1G38131,4-5,5-6,+IR,4,132,2,83,10,166,4,150,3,93,12,175,IR,AT1G38065,AT1G38131,AT1G38065-AT1G381314-5+IR,381,16,418,19,both,0.00345979479837748
AT3G28710-AT3G28715,8-9,8-9,+IR,3,678,6,686,11,1224,5,542,3,587,1,977,IR,AT3G28710,AT3G28715,AT3G28710-AT3G287158-9+IR,2588,20,2106,9,both,0.00345447099697486
AT5G46510-AT5G46520,3-4,3-4,+IR,3,41,3,45,3,53,3,30,2,38,2,46,IR,AT5G46510,AT5G46520,AT5G46510-AT5G465203-4+IR,139,9,114,7,both,0.0033446926669191
AT5G17520-AT5G17523,1-2,1-2,+IR,14,171,6,264,14,379,16,158,6,243,12,354,IR,AT5G17520,AT5G17523,AT5G17520-AT5G175231-2+IR,814,34,755,34,both,0.00326407081373969
AT1G17990-AT1G18020,4-5,4-5,+IR,63,221,227,324,125,319,63,219,227,328,126,325,IR,AT1G17990,AT1G18020,AT1G17990-AT1G180204-5+IR,864,415,872,416,both,0.0032598538905878
AT3G28710-AT3G28715,5-6,5-6,+IR,13,942,17,1010,18,1549,13,604,8,601,15,929,IR,AT3G28710,AT3G28715,AT3G28710-AT3G287155-6+IR,3501,48,2134,36,both,0.00315935974378187
AT1G17990-AT1G18020,2-3,2-3,+IR,14,351,38,754,42,653,14,328,37,705,42,615,IR,AT1G17990,AT1G18020,AT1G17990-AT1G180202-3+IR,1758,94,1648,93,both,0.00296218673028707
AT2G13790-AT2G13800,4-5,4-5,+IR,9,207,18,163,26,240,2,55,6,25,3,43,IR,AT2G13790,AT2G13800,AT2G13790-AT2G138004-5+IR,610,53,123,11,both,0.00254564840730374
