pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT3G23790-AT4G14070,4-5,4-5,-ALTA,1,10,2,12,3,19,5,427,8,475,18,725,ALTA,AT3G23790,AT4G14070,AT3G23790-AT4G140704-5-ALTA,41,6,1627,31,both,0.127287990765587
AT1G20090-AT1G75840,1-2,1-2,+IR,52,272,88,292,105,509,35,310,55,317,39,627,IR,AT1G20090,AT1G75840,AT1G20090-AT1G758401-2+IR,1073,245,1254,129,both,0.125460966658789
AT3G05290-AT5G27520,1-2,1-2,+IR,5,86,12,151,13,153,1,35,50,248,19,64,IR,AT3G05290,AT5G27520,AT3G05290-AT5G275201-2+IR,390,30,347,70,both,0.124806029705165
AT1G03040-AT4G02590,5-6,5-6,+IR,31,229,23,181,62,347,4,168,3,164,10,261,IR,AT1G03040,AT4G02590,AT1G03040-AT4G025905-6+IR,757,116,593,17,both,0.124568668815619
AT1G34020-AT4G09810,5-6,5-6,+IR,16,110,10,108,17,204,23,53,6,58,14,79,IR,AT1G34020,AT4G09810,AT1G34020-AT4G098105-6+IR,422,43,190,43,both,0.124420054876528
AT2G47630-AT3G62860,6-7,6-7,+IR,4,174,2,114,1,269,3,51,10,85,15,69,IR,AT2G47630,AT3G62860,AT2G47630-AT3G628606-7+IR,557,7,205,28,both,0.124018040898542
AT2G43010-AT3G59060,4-5,3-4,+IR,205,1327,234,1714,314,2353,16,1207,20,1701,42,2014,IR,AT2G43010,AT3G59060,AT2G43010-AT3G590604-5+IR,5394,753,4922,78,both,0.123752338482553
AT1G20100-AT1G75860,2-3,2-3,+IR,35,295,32,330,110,422,3,169,1,90,15,152,IR,AT1G20100,AT1G75860,AT1G20100-AT1G758602-3+IR,1047,177,411,19,both,0.122825730798458
AT1G17050-AT1G78510,1-2,1-2,+IR,6,664,2,580,25,1043,52,248,20,216,46,403,IR,AT1G17050,AT1G78510,AT1G17050-AT1G785101-2+IR,2287,33,867,118,both,0.121672115951502
AT2G21940-AT4G39540,6-7,6-7,+IR,14,82,5,66,18,116,8,575,5,507,25,956,IR,AT2G21940,AT4G39540,AT2G21940-AT4G395406-7+IR,264,37,2038,38,both,0.121505784042585
AT4G27680-AT5G53540,2-3,2-3,+IR,35,183,24,116,43,221,4,197,25,173,24,315,IR,AT4G27680,AT5G53540,AT4G27680-AT5G535402-3+IR,520,102,685,53,both,0.118781583380124
AT5G10470-AT5G65460,22-23,22-23,+IR,7,818,1,625,9,1154,20,127,11,154,37,265,IR,AT5G10470,AT5G65460,AT5G10470-AT5G6546022-23+IR,2597,17,546,68,both,0.117996109909857
AT1G18460-AT1G73920,6-7,6-7,+IR,9,373,23,291,35,531,65,525,112,762,198,894,IR,AT1G18460,AT1G73920,AT1G18460-AT1G739206-7+IR,1195,67,2181,375,both,0.115872531697294
AT3G22810-AT4G14740,1-2,1-2,+IR,5,26,3,16,5,49,8,126,2,156,5,257,IR,AT3G22810,AT4G14740,AT3G22810-AT4G147401-2+IR,91,13,539,15,both,0.115027829313544
AT1G12780-AT1G63180,5-6,6-7,+IR,11,379,25,784,23,653,6,36,6,60,11,60,IR,AT1G12780,AT1G63180,AT1G12780-AT1G631805-6+IR,1816,59,156,23,both,0.114946910651756
AT1G09390-AT1G56670,4-5,4-5,+IR,19,299,8,285,11,508,3,46,5,33,12,55,IR,AT1G09390,AT1G56670,AT1G09390-AT1G566704-5+IR,1092,38,134,20,both,0.114455196544749
AT4G19600-AT5G45190,6-7,7-8,+IR,21,83,26,61,50,118,40,115,29,115,27,145,IR,AT4G19600,AT5G45190,AT4G19600-AT5G451906-7+IR,262,97,375,96,both,0.114229007633588
AT1G55510-AT3G13450,7-8,7-8,+IR,13,64,8,67,7,100,1,97,2,216,1,237,IR,AT1G55510,AT3G13450,AT1G55510-AT3G134507-8+IR,231,28,550,4,both,0.113939393939394
AT1G48490-AT3G17850,5-6,4-5,+IR,2,69,1,61,4,94,19,132,22,169,41,264,IR,AT1G48490,AT3G17850,AT1G48490-AT3G178505-6+IR,224,7,565,82,both,0.113882743362832
AT1G12880-AT3G26690,3-4,4-5,+IR,7,180,2,138,5,289,2,10,2,16,5,40,IR,AT1G12880,AT3G26690,AT1G12880-AT3G266903-4+IR,607,14,66,9,both,0.113299385951775
AT1G01540-AT4G01330,4-5,4-5,+IR,8,623,13,559,11,1058,57,394,92,686,77,698,IR,AT1G01540,AT4G01330,AT1G01540-AT4G013304-5+IR,2240,32,1778,226,both,0.112823397075366
AT1G21410-AT1G77000,2-3,1-2,+IR,14,114,7,120,10,181,3,20,5,55,18,64,IR,AT1G21410,AT1G77000,AT1G21410-AT1G770002-3+IR,415,31,139,26,both,0.112351564531507
AT1G31020-AT2G35010,4-5,3-4,-ALTA,20,91,13,74,14,150,7,211,9,160,10,316,ALTA,AT1G31020,AT2G35010,AT1G31020-AT2G350104-5-ALTA,315,47,687,26,both,0.111360643238372
AT1G21000-AT1G76590,2-3,2-3,+IR,9,208,8,670,34,511,11,58,29,233,25,148,IR,AT1G21000,AT1G76590,AT1G21000-AT1G765902-3+IR,1389,51,439,65,both,0.111346718686195
AT1G74790-AT5G62630,4-5,4-5,+IR,12,120,22,121,28,177,5,144,10,180,7,265,IR,AT1G74790,AT5G62630,AT1G74790-AT5G626304-5+IR,418,62,589,22,both,0.110973915727736
AT1G55680-AT3G13340,9-10,9-10,+IR,5,505,1,554,5,885,10,273,28,234,61,353,IR,AT1G55680,AT3G13340,AT1G55680-AT3G133409-10+IR,1944,11,860,99,both,0.109457842855776
AT4G04860-AT4G21810,2-3,2-3,+IR,6,116,6,128,8,165,28,268,65,427,88,453,IR,AT4G04860,AT4G21810,AT4G04860-AT4G218102-3+IR,409,20,1148,181,both,0.108765749725258
AT4G26720-AT5G55260,1-2,1-2,+IR,5,205,3,132,2,296,14,127,10,86,31,234,IR,AT4G26720,AT5G55260,AT4G26720-AT5G552601-2+IR,633,10,447,55,both,0.107244717283205
AT1G69370-AT3G29200,4-5,4-5,+IR,10,80,16,167,21,166,2,267,3,244,2,483,IR,AT1G69370,AT3G29200,AT1G69370-AT3G292004-5+IR,413,47,994,7,both,0.106759199263377
AT2G24570-AT4G31550,1-2,1-2,+IR,35,162,41,143,70,222,96,231,77,364,234,467,IR,AT2G24570,AT4G31550,AT2G24570-AT4G315501-2+IR,527,146,1062,407,both,0.106199323177421
