pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT2G24570-AT4G31550,2-3,2-3,+IR,15,196,23,140,41,265,27,180,32,388,111,528,IR,AT2G24570,AT4G31550,AT2G24570-AT4G315502-3+IR,601,79,1096,170,both,0.0236619016966856
AT3G02170-AT5G15580,4-5,4-5,+IR,24,133,10,226,23,269,3,50,5,65,4,63,IR,AT3G02170,AT5G15580,AT3G02170-AT5G155804-5+IR,628,57,178,12,both,0.0233486008731124
AT4G25440-AT5G51980,3-4,2-3,-ALTA,2,64,4,70,3,122,1,112,1,100,3,206,ALTA,AT4G25440,AT5G51980,AT4G25440-AT5G519803-4-ALTA,256,9,418,5,both,0.0231945275119617
AT1G15960-AT1G80830,9-10,8-9,+IR,1,65,1,47,1,105,9,162,1,110,6,178,IR,AT1G15960,AT1G80830,AT1G15960-AT1G808309-10+IR,217,3,450,16,both,0.0217306707629288
AT1G07370-AT2G29570,1-2,1-2,+IR,5,135,2,75,11,190,2,217,3,177,12,334,IR,AT1G07370,AT2G29570,AT1G07370-AT2G295701-2+IR,400,18,728,17,both,0.0216483516483516
AT2G46660-AT3G61880,1-2,1-2,+IR,9,59,1,22,4,102,21,112,8,85,4,140,IR,AT2G46660,AT3G61880,AT2G46660-AT3G618801-2+IR,183,14,337,33,both,0.0214201164242513
AT3G06300-AT5G18900,3-4,3-4,+IR,6,134,5,112,12,216,1,112,3,110,8,199,IR,AT3G06300,AT5G18900,AT3G06300-AT5G189003-4+IR,462,23,421,12,both,0.0212799868381816
AT4G27240-AT5G54630,1-2,1-2,+IR,1,46,1,64,3,97,28,352,13,406,25,701,IR,AT4G27240,AT5G54630,AT4G27240-AT5G546301-2+IR,207,5,1459,66,both,0.021081873959068
AT2G25300-AT4G32120,8-9,8-9,+IR,1,26,5,29,1,62,2,76,2,67,6,113,IR,AT2G25300,AT4G32120,AT2G25300-AT4G321208-9+IR,117,7,256,10,both,0.0207665598290598
AT1G21980-AT1G77740,7-8,8-9,+IR,13,82,11,93,4,111,50,331,13,212,62,512,IR,AT1G21980,AT1G77740,AT1G21980-AT1G777407-8+IR,286,28,1055,125,both,0.020581314420177
AT3G10550-AT5G04540,11-12,11-12,+IR,11,52,13,59,12,69,17,81,23,100,20,153,IR,AT3G10550,AT5G04540,AT3G10550-AT5G0454011-12+IR,180,36,334,60,both,0.0203592814371258
AT5G09770-AT5G64650,5-6,5-6,+IR,13,281,3,188,13,379,4,106,7,96,12,224,IR,AT5G09770,AT5G64650,AT5G09770-AT5G646505-6+IR,848,29,426,23,both,0.0197924971210913
AT2G17700-AT4G35780,9-10,8-9,+IR,8,85,7,62,10,107,9,118,14,124,22,139,IR,AT2G17700,AT4G35780,AT2G17700-AT4G357809-10+IR,254,25,381,45,both,0.0196850393700787
AT5G10030-AT5G65210,8-9,7-8,+IR,4,191,7,147,29,243,6,60,2,50,1,73,IR,AT5G10030,AT5G65210,AT5G10030-AT5G652108-9+IR,581,40,183,9,both,0.0196664879659152
AT1G21080-AT1G76700,7-8,7-8,+IR,15,320,1,335,8,629,2,61,6,105,3,122,IR,AT1G21080,AT1G76700,AT1G21080-AT1G767007-8+IR,1284,24,288,11,both,0.0195028556593977
AT1G04520-AT2G33330,2-3,2-3,+IR,5,150,2,62,13,185,9,197,8,158,7,422,IR,AT1G04520,AT2G33330,AT1G04520-AT2G333302-3+IR,397,20,777,24,both,0.0194898028651177
AT2G39290-AT3G55030,1-2,1-2,+IR,12,187,5,164,6,303,1,111,2,156,5,235,IR,AT2G39290,AT3G55030,AT2G39290-AT3G550301-2+IR,654,23,502,8,both,0.0192319407385748
AT1G25520-AT1G68650,11-12,11-12,+IR,3,200,7,154,10,313,2,112,1,69,12,126,IR,AT1G25520,AT1G68650,AT1G25520-AT1G6865011-12+IR,667,20,307,15,both,0.0188749273571683
AT1G66260-AT5G37720,3-4,3-4,+IR,72,907,140,993,222,1655,18,230,32,247,41,404,IR,AT1G66260,AT5G37720,AT1G66260-AT5G377203-4+IR,3555,434,881,91,both,0.0187898612847247
AT1G07360-AT2G29580,1-2,1-2,+IR,26,333,5,277,10,648,6,75,5,82,7,194,IR,AT1G07360,AT2G29580,AT1G07360-AT2G295801-2+IR,1258,41,351,18,both,0.0186906363376952
AT2G44180-AT3G59990,6-7,8-9,+IR,4,70,6,121,6,194,11,359,6,357,15,655,IR,AT2G44180,AT3G59990,AT2G44180-AT3G599906-7+IR,385,16,1371,32,both,0.0182178142790834
AT3G47060-AT5G58870,12-13,12-13,+IR,7,98,9,73,7,140,73,1237,35,1150,141,2042,IR,AT3G47060,AT5G58870,AT3G47060-AT5G5887012-13+IR,311,23,4429,249,both,0.0177346181517752
AT1G07370-AT2G29570,3-4,3-4,+IR,7,97,2,91,5,233,5,153,1,195,6,389,IR,AT1G07370,AT2G29570,AT1G07370-AT2G295703-4+IR,421,14,737,12,both,0.0169719315321471
AT3G47550-AT5G62460,4-5,4-5,+IR,3,132,12,196,13,227,9,163,8,184,4,277,IR,AT3G47550,AT5G62460,AT3G47550-AT5G624604-5+IR,555,28,624,21,both,0.0167966042966043
AT1G13960-AT2G03340,1-2,1-2,+IR,7,87,5,134,10,150,9,136,17,145,16,271,IR,AT1G13960,AT2G03340,AT1G13960-AT2G033401-2+IR,371,22,552,42,both,0.0167877651470761
AT2G46260-AT3G61600,3-4,3-4,+IR,1,112,4,235,6,246,22,405,13,470,20,692,IR,AT2G46260,AT3G61600,AT2G46260-AT3G616003-4+IR,593,11,1567,55,both,0.0165491680755377
AT5G10570-AT5G65640,2-3,2-3,+IR,3,42,5,61,6,83,8,79,4,99,7,145,IR,AT5G10570,AT5G65640,AT5G10570-AT5G656402-3+IR,186,14,323,19,both,0.0164452877925364
AT1G18890-AT1G74740,6-7,6-7,+IR,10,174,17,223,23,275,1,58,6,63,5,85,IR,AT1G18890,AT1G74740,AT1G18890-AT1G747406-7+IR,672,50,206,12,both,0.0161523347202959
AT5G10570-AT5G65640,1-2,1-2,+IR,12,48,8,54,7,74,18,58,7,107,26,136,IR,AT5G10570,AT5G65640,AT5G10570-AT5G656401-2+IR,176,27,301,51,both,0.0160261250377529
