pair,j1,j2,class,g1r1alt,g1r1cons,g1r2alt,g1r2cons,g1r3alt,g1r3cons,g2r1alt,g2r1cons,g2r2alt,g2r2cons,g2r3alt,g2r3cons,class2,pair_1,pair_2,uniqID,g1_all_cons,g1_all_alts,g2_all_cons,g2_all_alts,one_gene_alts_only,qdiff
AT5G12950-AT5G12960,10-11,10-11,+IR,11,471,11,669,48,876,9,159,10,296,33,406,IR,AT5G12950,AT5G12960,AT5G12950-AT5G1296010-11+IR,2016,70,861,52,both,0.0256726674409601
AT3G05160-AT3G05165,15-16,16-17,+IR,4,255,15,283,15,429,42,442,17,371,23,554,IR,AT3G05160,AT3G05165,AT3G05160-AT3G0516515-16+IR,967,34,1367,82,both,0.0248250798667664
AT1G53430-AT1G53440,22-23,22-23,+IR,13,284,10,318,16,433,8,113,11,200,16,252,IR,AT1G53430,AT1G53440,AT1G53430-AT1G5344022-23+IR,1035,39,565,35,both,0.0242657432345774
AT1G02300-AT1G02305,9-10,10-11,+IR,5,244,4,270,17,411,3,628,3,876,6,1258,IR,AT1G02300,AT1G02305,AT1G02300-AT1G023059-10+IR,925,26,2762,12,both,0.023763430338376
AT1G06640-AT1G06650,2-3,2-3,+IR,15,231,17,233,18,395,31,640,23,647,26,1013,IR,AT1G06640,AT1G06650,AT1G06640-AT1G066502-3+IR,859,50,2300,80,both,0.023424608999342
AT1G53430-AT1G53440,21-22,21-22,+IR,8,229,7,284,27,458,1,96,5,172,4,223,IR,AT1G53430,AT1G53440,AT1G53430-AT1G5344021-22+IR,971,42,491,10,both,0.0228877781529949
AT2G32530-AT2G32540,6-7,6-7,-ALTA,1,139,3,100,2,136,14,268,12,193,5,338,ALTA,AT2G32530,AT2G32540,AT2G32530-AT2G325406-7-ALTA,375,6,799,31,both,0.0227984981226533
AT1G29390-AT1G29395,2-3,2-3,+IR,13,507,8,752,18,1075,13,284,28,848,24,536,IR,AT1G29390,AT1G29395,AT1G29390-AT1G293952-3+IR,2334,39,1668,65,both,0.0222593133719246
AT5G18630-AT5G18640,6-7,6-7,+IR,5,542,18,830,45,920,5,179,10,284,25,318,IR,AT5G18630,AT5G18640,AT5G18630-AT5G186406-7+IR,2292,68,781,40,both,0.0215479773771935
AT4G27820-AT4G27830,6-7,6-7,+IR,1,258,3,138,13,411,16,300,7,236,16,401,IR,AT4G27820,AT4G27830,AT4G27820-AT4G278306-7+IR,807,17,937,39,both,0.0205565231651015
AT4G12770-AT4G12780,6-7,6-7,+IR,4,124,3,114,8,193,2,188,3,173,5,290,IR,AT4G12770,AT4G12780,AT4G12770-AT4G127806-7+IR,431,15,651,10,both,0.0194418011198192
AT2G32870-AT2G32880,4-5,4-5,+IR,81,1470,46,1329,45,1920,91,1210,73,1075,78,2064,IR,AT2G32870,AT2G32880,AT2G32870-AT2G328804-5+IR,4719,172,4349,242,both,0.019196575771755
AT5G27350-AT5G27360,10-11,10-11,-ALTA,6,1143,12,1227,17,1517,4,111,1,121,8,229,ALTA,AT5G27350,AT5G27360,AT5G27350-AT5G2736010-11-ALTA,3887,35,461,13,both,0.0191951926076521
AT2G37450-AT2G37460,4-5,5-6,+IR,6,319,2,226,15,462,10,424,8,195,23,385,IR,AT2G37450,AT2G37460,AT2G37450-AT2G374604-5+IR,1007,23,1004,41,both,0.0179965342206151
AT2G29300-AT2G29320,2-3,2-3,+IR,4,178,6,584,31,302,10,452,1,439,21,648,IR,AT2G29300,AT2G29320,AT2G29300-AT2G293202-3+IR,1064,41,1539,32,both,0.0177411120393577
AT5G19990-AT5G20000,7-8,7-8,+IR,3,577,2,576,1,1070,7,228,2,355,13,494,IR,AT5G19990,AT5G20000,AT5G19990-AT5G200007-8+IR,2223,6,1077,22,both,0.0177280570184836
AT2G13790-AT2G13800,10-11,10-11,+IR,26,389,11,384,19,510,6,269,7,278,12,404,IR,AT2G13790,AT2G13800,AT2G13790-AT2G1380010-11+IR,1283,56,951,25,both,0.0173595829307133
AT3G05160-AT3G05165,3-4,4-5,+IR,3,158,11,184,2,337,2,274,3,269,3,464,IR,AT3G05160,AT3G05165,AT3G05160-AT3G051653-4+IR,679,16,1007,8,both,0.0156196755261037
AT5G22770-AT5G22780,14-15,14-15,+ALTD,6,240,5,176,5,347,2,206,1,224,2,424,ALTD,AT5G22770,AT5G22780,AT5G22770-AT5G2278014-15+ALTD,763,16,854,5,both,0.015115054895473
AT2G17320-AT2G17340,6-7,6-7,+IR,1,166,1,152,1,305,14,475,4,512,15,706,IR,AT2G17320,AT2G17340,AT2G17320-AT2G173406-7+IR,623,3,1693,33,both,0.0146766166795767
AT3G05160-AT3G05165,4-5,5-6,+IR,6,160,5,215,3,368,2,251,1,250,1,446,IR,AT3G05160,AT3G05165,AT3G05160-AT3G051654-5+IR,743,14,947,4,both,0.0146186654463127
AT5G27350-AT5G27360,10-11,10-11,+IR,2,1147,5,1234,3,1531,2,113,2,120,4,233,IR,AT5G27350,AT5G27360,AT5G27350-AT5G2736010-11+IR,3912,10,466,8,both,0.014611144755435
AT5G19990-AT5G20000,1-2,1-2,+IR,9,503,3,560,11,1112,10,239,4,291,8,433,IR,AT5G19990,AT5G20000,AT5G19990-AT5G200001-2+IR,2175,23,963,22,both,0.0122705625380456
AT5G25754-AT5G25757,4-5,4-5,+IR,1,408,2,257,10,724,12,453,5,227,13,731,IR,AT5G25754,AT5G25757,AT5G25754-AT5G257574-5+IR,1389,13,1411,30,both,0.0119022653949555
AT4G31480-AT4G31490,1-2,1-2,+ALTD,9,512,5,575,17,1161,16,329,2,284,14,650,ALTD,AT4G31480,AT4G31490,AT4G31480-AT4G314901-2+ALTD,2248,31,1263,32,both,0.0115464648086942
AT5G27350-AT5G27360,4-5,4-5,+IR,16,767,4,917,3,1137,5,131,4,170,3,311,IR,AT5G27350,AT5G27360,AT5G27350-AT5G273604-5+IR,2821,23,612,12,both,0.0114547059518597
AT3G43980-AT3G44010,1-2,1-2,+IR,7,715,7,578,15,1659,69,2453,43,1678,82,5063,IR,AT3G43980,AT3G44010,AT3G43980-AT3G440101-2+IR,2952,29,9194,194,both,0.0112768696209912
AT5G19990-AT5G20000,5-6,5-6,+IR,1,479,3,520,5,866,4,280,2,339,13,563,IR,AT5G19990,AT5G20000,AT5G19990-AT5G200005-6+IR,1865,9,1182,19,both,0.0112487128191868
AT4G28860-AT4G28880,11-12,12-13,+IR,6,351,6,338,12,510,1,278,5,322,3,425,IR,AT4G28860,AT4G28880,AT4G28860-AT4G2888011-12+IR,1199,24,1025,9,both,0.0112361927622612
AT2G17190-AT2G17200,2-3,2-3,+IR,4,398,1,399,7,596,20,475,6,496,7,723,IR,AT2G17190,AT2G17200,AT2G17190-AT2G172002-3+IR,1393,12,1694,33,both,0.0108660184037068
AT1G54580-AT1G54630,3-4,3-4,+IR,25,860,6,826,23,1432,26,903,23,902,45,1667,IR,AT1G54580,AT1G54630,AT1G54580-AT1G546303-4+IR,3118,54,3472,94,both,0.00975493862011274
AT4G14710-AT4G14716,3-4,2-3,+IR,17,1160,17,1087,35,1940,6,749,10,986,10,1678,IR,AT4G14710,AT4G14716,AT4G14710-AT4G147163-4+IR,4187,69,3413,26,both,0.0088616482126846
AT2G29300-AT2G29320,3-4,3-4,+ALTA,6,155,1,584,5,375,1,350,1,304,1,539,ALTA,AT2G29300,AT2G29320,AT2G29300-AT2G293203-4+ALTA,1114,12,1193,3,both,0.00825732391674354
AT2G27960-AT2G27970,1-2,2-3,+IR,3,753,1,867,2,1437,2,157,1,96,2,265,IR,AT2G27960,AT2G27970,AT2G27960-AT2G279701-2+IR,3057,6,518,5,both,0.00768980111472751
AT1G58848-AT1G59218,1-2,1-2,+ALTA,1,487,5,495,5,692,14,975,9,927,27,1729,ALTA,AT1G58848,AT1G59218,AT1G58848-AT1G592181-2+ALTA,1674,11,3631,50,both,0.00719922399278482
AT1G54580-AT1G54630,2-3,2-3,+IR,4,887,6,940,8,1747,3,1151,13,1121,26,2486,IR,AT1G54580,AT1G54630,AT1G54580-AT1G546302-3+IR,3574,18,4758,42,both,0.00379086452457887
AT2G32870-AT2G32880,2-3,2-3,-ALTA,4,1844,6,1698,14,2457,6,1068,7,931,13,1555,ALTA,AT2G32870,AT2G32880,AT2G32870-AT2G328802-3-ALTA,5999,24,3554,26,both,0.00331503384122452
